Dec  	Hex  	Bin  	   	Dec  	Hex  	Bin  	   	Dec  	Hex  	Bin  	   	Dec  	Hex  	Bin
21 	15 	00010101 	  	85 	  55 	01010101 	  	149 	95 	10010101 	  	213 	d5 	11010101
22 	16 	00010110 	  	86 	  56 	01010110 	  	150 	96 	10010110 	  	214 	d6 	11010110
23 	17 	00010111 	  	87  	57 	01010111 	  	151 	97 	10010111 	  	215 	d7 	11010111
24 	18 	00011000 	  	88  	58 	01011000 	  	152 	98 	10011000 	  	216 	d8 	11011000
25 	19 	00011001 	  	89   	59 	01011001 	  	153 	99 	10011001 	  	217 	d9 	11011001
26 	1a 	00011010 	  	90  	5a 	01011010 	  	154 	9a 	10011010 	  	218 	da 	11011010
27 	1b 	00011011 	  	91 	  5b 	01011011 	  	155 	9b 	10011011 	  	219 	db 	11011011
28 	1c 	00011100 	  	92  	5c 	01011100 	  	156 	9c 	10011100 	  	220 	dc 	11011100
29 	1d 	00011101 	  	93  	5d 	01011101 	  	157 	9d 	10011101 	  	221 	dd 	11011101
30 	1e 	00011110 	  	94  	5e 	01011110 	  	158 	9e 	10011110 	  	222 	de 	11011110
31 	1f 	00011111 	  	95  	5f 	01011111 	  	159 	9f 	10011111 	  	223 	df 	11011111
32 	20 	00100000 	  	96  	60 	01100000 	  	160 	a0 	10100000 	  	224 	e0 	11100000
33 	21 	00100001 	  	97  	61 	01100001 	  	161 	a1 	10100001 	  	225 	e1 	11100001
34 	22 	00100010 	  	98 	  62 	01100010 	  	162 	a2 	10100010 	  	226 	e2 	11100010
35 	23 	00100011 	  	99  	63 	01100011 	  	163 	a3 	10100011 	  	227 	e3 	11100011
36 	24 	00100100 	  	100 	64 	01100100 	  	164 	a4 	10100100 	  	228 	e4 	11100100
37 	25 	00100101 	  	101 	65 	01100101 	  	165 	a5 	10100101 	  	229 	e5 	11100101
38 	26 	00100110 	  	102 	66 	01100110 	  	166 	a6 	10100110 	  	230 	e6 	11100110
39 	27 	00100111 	  	103 	67 	01100111 	  	167 	a7 	10100111 	  	231 	e7 	11100111
40 	28 	00101000 	  	104 	68 	01101000 	  	168 	a8 	10101000 	  	232 	e8 	11101000
41 	29 	00101001 	  	105 	69 	01101001 	  	169 	a9 	10101001 	  	233 	e9 	11101001
42 	2a 	00101010 	  	106 	6a 	01101010 	  	170 	aa 	10101010 	  	234 	ea 	11101010
43 	2b 	00101011 	  	107 	6b 	01101011 	  	171 	ab 	10101011 	  	235 	eb 	11101011
44 	2c 	00101100 	  	108 	6c 	01101100 	  	172 	ac 	10101100 	  	236 	ec 	11101100
45 	2d 	00101101 	  	109 	6d 	01101101 	  	173 	ad 	10101101 	  	237 	ed 	11101101
46 	2e 	00101110 	  	110 	6e 	01101110 	  	174 	ae 	10101110 	  	238 	ee 	11101110
47 	2f 	00101111 	  	111 	6f 	01101111 	  	175 	af 	10101111 	  	239 	ef 	11101111
48 	30 	00110000 	  	112 	70 	01110000 	  	176 	b0 	10110000 	  	240 	f0 	11110000
49 	31 	00110001 	  	113 	71 	01110001 	  	177 	b1 	10110001 	  	241 	f1 	11110001
50 	32 	00110010 	  	114 	72 	01110010 	  	178 	b2 	10110010 	  	242 	f2 	11110010
51 	33 	00110011 	  	115 	73 	01110011 	  	179 	b3 	10110011 	  	243 	f3 	11110011
52 	34 	00110100 	  	116 	74 	01110100 	  	180 	b4 	10110100 	  	244 	f4 	11110100
53 	35 	00110101 	  	117 	75 	01110101 	  	181 	b5 	10110101 	  	245 	f5 	11110101
54 	36 	00110110 	  	118 	76 	01110110 	  	182 	b6 	10110110 	  	246 	f6 	11110110
55 	37 	00110111 	  	119 	77 	01110111 	  	183 	b7 	10110111 	  	247 	f7 	11110111
56 	38 	00111000 	  	120 	78 	01111000 	  	184 	b8 	10111000 	  	248 	f8 	11111000
57 	39 	00111001 	  	121 	79 	01111001 	  	185 	b9 	10111001 	  	249 	f9 	11111001
58 	3a 	00111010 	  	122 	7a 	01111010 	  	186 	ba 	10111010 	  	250 	fa 	11111010
59 	3b 	00111011 	  	123 	7b 	01111011 	  	187 	bb 	10111011 	  	251 	fb 	11111011
60 	3c 	00111100 	  	124 	7c 	01111100 	  	188 	bc 	10111100 	  	252 	fc 	11111100
61 	3d 	00111101 	  	125 	7d 	01111101 	  	189 	bd 	10111101 	  	253 	fd 	11111101
62 	3e 	00111110 	  	126 	7e 	01111110 	  	190 	be 	10111110 	  	254 	fe 	11111110
63 	3f 	00111111 	  	127 	7f 	01111111 	  	191 	bf 	10111111 	  	255 	ff 	11111111
